precipitation,temp_max,temp_min,wind,month,year,day,day_of_week,weather_drizzle,weather_fog,weather_rain,weather_snow,weather_sun
0.0,23.9,6.1,2.2,5,2012,7,0,False,False,False,False,True
0.0,18.3,9.4,3.0,5,2012,8,1,False,False,False,False,True
0.0,13.3,6.7,3.9,5,2012,9,2,False,False,True,False,False
0.0,14.4,3.9,3.0,5,2012,10,3,False,False,False,False,True
0.0,18.3,4.4,4.3,5,2012,11,4,False,False,False,False,True
0.0,24.4,6.7,3.4,5,2012,12,5,False,False,False,False,True
0.0,25.6,9.4,4.2,5,2012,13,6,False,False,False,False,True
0.0,26.7,12.8,3.8,5,2012,14,0,False,False,False,False,True
0.0,24.4,9.4,4.1,5,2012,15,1,True,False,False,False,False
0.0,19.4,9.4,3.5,5,2012,16,2,False,False,False,False,True
0.0,17.8,6.7,2.9,5,2012,17,3,False,False,True,False,False
0.0,15.6,7.8,3.1,5,2012,18,4,False,False,True,False,False
0.0,19.4,7.2,1.5,5,2012,19,5,False,False,False,False,True
6.4,14.4,11.7,1.3,5,2012,20,6,False,False,True,False,False
14.0,16.7,10.0,4.0,5,2012,21,0,False,False,True,False,False
6.1,12.8,8.9,4.8,5,2012,22,1,False,False,True,False,False
0.3,14.4,8.9,6.3,5,2012,23,2,False,False,True,False,False
0.0,17.2,8.9,3.3,5,2012,24,3,False,False,True,False,False
0.0,22.2,8.9,3.1,5,2012,25,4,False,False,True,False,False
0.0,22.2,8.9,3.6,5,2012,26,5,False,False,False,False,True
0.0,17.2,11.7,3.7,5,2012,27,6,False,False,False,False,True
0.0,16.7,10.0,3.4,5,2012,28,0,False,False,True,False,False
0.0,16.1,7.8,1.8,5,2012,29,1,False,False,False,False,True
0.3,18.9,11.1,1.5,5,2012,30,2,False,False,True,False,False
3.8,17.8,12.2,2.7,5,2012,31,3,False,False,True,False,False
6.6,20.0,12.8,3.7,6,2012,1,4,False,False,True,False,False
0.3,18.9,10.6,3.7,6,2012,2,5,False,False,True,False,False
0.0,17.2,9.4,2.9,6,2012,3,6,False,False,False,False,True
1.3,12.8,8.9,3.1,6,2012,4,0,False,False,True,False,False
16.0,13.3,8.3,3.3,6,2012,5,1,False,False,True,False,False
0.0,16.1,6.1,3.4,6,2012,6,2,False,False,False,False,True
16.5,16.1,8.9,3.5,6,2012,7,3,False,False,True,False,False
1.5,15.0,8.3,3.0,6,2012,8,4,False,False,True,False,False
0.0,17.2,8.3,4.7,6,2012,9,5,False,False,True,False,False
0.0,18.9,10.0,2.9,6,2012,10,6,False,False,False,False,True
0.0,23.3,10.0,1.8,6,2012,11,0,False,False,True,False,False
0.8,18.3,12.8,3.9,6,2012,12,1,False,False,True,False,False
0.0,16.1,11.1,4.3,6,2012,13,2,False,False,False,False,True
0.0,17.2,10.0,2.7,6,2012,14,3,False,False,False,False,True
0.0,22.2,9.4,1.7,6,2012,15,4,False,False,False,False,True
0.0,21.1,15.0,4.1,6,2012,16,5,False,False,True,False,False
0.0,18.9,11.7,6.4,6,2012,17,6,False,False,False,False,True
3.0,17.2,10.0,3.8,6,2012,18,0,False,False,True,False,False
1.0,19.4,10.0,3.0,6,2012,19,1,False,False,True,False,False
0.0,24.4,10.0,3.0,6,2012,20,2,False,False,False,False,True
0.0,23.9,11.7,2.1,6,2012,21,3,False,False,False,False,True
15.7,13.9,11.7,1.9,6,2012,22,4,False,False,True,False,False
8.6,15.6,9.4,2.5,6,2012,23,5,False,False,True,False,False
0.0,19.4,9.4,2.0,6,2012,24,6,True,False,False,False,False
0.5,19.4,11.1,3.1,6,2012,25,0,False,False,True,False,False
0.0,18.3,10.6,3.4,6,2012,26,1,False,False,True,False,False
0.0,22.8,8.9,1.8,6,2012,27,2,False,False,False,False,True
0.0,22.2,11.7,2.5,6,2012,28,3,False,False,True,False,False
0.3,21.7,15.0,1.9,6,2012,29,4,False,False,True,False,False
3.0,20.0,13.3,2.4,6,2012,30,5,False,False,True,False,False
0.0,20.0,12.2,2.3,7,2012,1,6,False,False,True,False,False
2.0,18.9,11.7,2.1,7,2012,2,0,False,False,True,False,False
5.8,18.3,10.6,6.0,7,2012,3,1,False,False,True,False,False
0.0,20.6,9.4,3.8,7,2012,4,2,False,False,False,False,True
0.0,24.4,10.6,3.1,7,2012,5,3,True,False,False,False,False
0.0,25.0,11.1,2.1,7,2012,6,4,False,False,False,False,True
0.0,26.7,12.8,3.8,7,2012,7,5,False,False,False,False,True
0.0,28.3,14.4,2.8,7,2012,8,6,False,False,True,False,False
1.5,25.0,12.8,2.0,7,2012,9,0,False,False,True,False,False
0.0,23.9,11.1,2.3,7,2012,10,1,True,False,False,False,False
0.0,27.8,13.3,2.9,7,2012,11,2,False,True,False,False,False
0.0,25.6,13.3,2.7,7,2012,12,3,True,False,False,False,False
0.5,23.3,13.9,2.2,7,2012,13,4,False,False,True,False,False
0.0,25.0,15.0,2.2,7,2012,14,5,False,False,True,False,False
0.0,18.9,13.3,3.8,7,2012,15,6,False,False,True,False,False
0.3,26.1,13.3,2.5,7,2012,16,0,False,False,True,False,False
0.0,21.7,15.0,2.6,7,2012,17,1,False,False,False,False,True
0.0,21.1,14.4,2.9,7,2012,18,2,False,False,False,False,True
0.0,25.0,14.4,2.2,7,2012,19,3,False,False,False,False,True
15.2,19.4,13.9,4.0,7,2012,20,4,False,False,True,False,False
0.0,23.9,13.9,2.3,7,2012,21,5,False,False,False,False,True
1.0,20.6,12.2,3.9,7,2012,22,6,False,False,True,False,False
0.0,18.9,11.1,3.3,7,2012,23,0,False,False,True,False,False
0.0,23.3,12.2,4.3,7,2012,24,1,False,False,False,False,True
0.0,26.7,12.8,2.6,7,2012,25,2,False,False,False,False,True
0.0,25.6,12.8,2.2,7,2012,26,3,True,False,False,False,False
0.0,18.9,13.9,2.8,7,2012,27,4,True,False,False,False,False
0.0,22.2,13.3,1.7,7,2012,28,5,True,False,False,False,False
0.0,22.8,15.0,2.0,7,2012,29,6,False,False,False,False,True
0.0,19.4,13.3,3.0,7,2012,30,0,False,False,False,False,True
0.0,22.8,13.9,2.8,7,2012,31,1,False,False,False,False,True
0.0,23.9,13.3,2.2,8,2012,1,2,True,False,False,False,False
0.0,23.3,12.2,2.5,8,2012,2,3,False,False,False,False,True
0.0,27.2,12.8,3.9,8,2012,3,4,False,False,False,False,True
0.0,33.9,16.7,3.7,8,2012,4,5,False,False,False,False,True
0.0,33.9,17.8,1.9,8,2012,5,6,False,False,False,False,True
0.0,28.3,15.6,2.5,8,2012,6,0,False,False,True,False,False
0.0,21.1,15.0,2.6,8,2012,7,1,True,False,False,False,False
0.0,22.2,15.0,3.1,8,2012,8,2,False,False,False,False,True
0.0,24.4,14.4,3.8,8,2012,9,3,True,False,False,False,False
0.0,25.6,12.2,2.3,8,2012,10,4,False,False,False,False,True
0.0,28.3,13.3,2.5,8,2012,11,5,False,False,False,False,True
0.0,30.6,15.0,3.0,8,2012,12,6,False,False,False,False,True
0.0,30.6,15.0,2.8,8,2012,13,0,False,False,False,False,True
0.0,28.9,13.9,2.8,8,2012,14,1,False,False,False,False,True
0.0,31.1,16.7,4.7,8,2012,15,2,False,False,False,False,True
0.0,34.4,18.3,2.8,8,2012,16,3,False,False,False,False,True
0.0,32.8,16.1,1.8,8,2012,17,4,False,False,False,False,True
0.0,21.7,14.4,3.0,8,2012,18,5,True,False,False,False,False
0.0,23.3,15.0,2.7,8,2012,19,6,True,False,False,False,False
0.0,25.6,15.0,1.9,8,2012,20,0,False,False,False,False,True
0.0,23.3,13.3,3.0,8,2012,21,1,False,False,True,False,False
0.0,22.2,13.3,2.3,8,2012,22,2,False,False,False,False,True
0.0,21.1,13.9,3.8,8,2012,23,3,False,False,False,False,True
0.0,22.2,10.0,3.3,8,2012,24,4,False,False,False,False,True
0.0,26.1,11.7,3.2,8,2012,25,5,False,False,False,False,True
0.0,21.1,12.2,3.4,8,2012,26,6,False,False,False,False,True
0.0,23.9,13.3,1.8,8,2012,27,0,False,False,False,False,True
0.0,22.8,12.2,3.2,8,2012,28,1,False,False,False,False,True
0.0,22.8,13.3,2.4,8,2012,29,2,False,False,False,False,True
0.0,22.8,12.8,1.9,8,2012,30,3,False,False,False,False,True
0.0,22.2,10.6,2.9,8,2012,31,4,False,False,False,False,True
0.0,21.7,10.6,2.1,9,2012,1,5,False,False,False,False,True
0.0,21.1,10.0,2.0,9,2012,2,6,False,False,False,False,True
0.0,22.8,12.8,3.3,9,2012,3,0,False,False,False,False,True
0.0,24.4,11.1,3.1,9,2012,4,1,False,False,False,False,True
0.0,26.1,11.7,2.6,9,2012,5,2,False,False,False,False,True
0.0,28.3,14.4,4.2,9,2012,6,3,False,False,False,False,True
0.0,32.2,13.3,3.1,9,2012,7,4,False,False,False,False,True
0.0,25.0,13.3,3.0,9,2012,8,5,False,False,False,False,True
0.3,18.9,13.9,5.0,9,2012,9,6,False,False,True,False,False
0.3,20.0,11.7,3.9,9,2012,10,0,False,False,True,False,False
0.0,20.0,8.9,4.2,9,2012,11,1,False,False,False,False,True
0.0,22.2,10.0,5.6,9,2012,12,2,False,False,False,False,True
0.0,27.8,11.7,3.6,9,2012,13,3,False,False,False,False,True
0.0,26.1,11.1,1.5,9,2012,14,4,False,False,False,False,True
0.0,22.2,11.1,1.9,9,2012,15,5,False,False,False,False,True
0.0,24.4,9.4,2.3,9,2012,16,6,False,False,False,False,True
0.0,27.8,11.7,2.2,9,2012,17,0,False,True,False,False,False
0.0,27.8,11.7,1.4,9,2012,18,1,False,False,False,False,True
0.0,23.9,11.7,1.9,9,2012,19,2,True,False,False,False,False
0.0,19.4,10.0,2.5,9,2012,20,3,True,False,False,False,False
0.0,16.1,12.8,2.1,9,2012,21,4,True,False,False,False,False
0.3,19.4,11.7,1.1,9,2012,22,5,False,False,True,False,False
0.0,19.4,10.0,1.4,9,2012,23,6,False,True,False,False,False
0.0,21.1,10.0,1.8,9,2012,24,0,False,True,False,False,False
0.0,19.4,11.1,1.7,9,2012,25,1,False,False,False,False,True
0.0,19.4,9.4,1.7,9,2012,26,2,True,False,False,False,False
0.0,22.8,10.0,1.7,9,2012,27,3,True,False,False,False,False
0.0,25.0,12.2,1.1,9,2012,28,4,False,False,True,False,False
0.0,20.6,12.2,4.3,9,2012,29,5,False,False,False,False,True
0.0,21.1,7.8,3.1,9,2012,30,6,False,False,False,False,True
0.0,23.3,8.9,3.0,10,2012,1,0,False,False,False,False,True
0.0,17.8,10.0,4.1,10,2012,2,1,False,False,False,False,True
0.0,18.9,7.8,7.3,10,2012,3,2,False,False,False,False,True
0.0,18.9,8.3,6.5,10,2012,4,3,False,False,False,False,True
0.0,21.7,8.9,5.7,10,2012,5,4,False,False,False,False,True
0.0,23.9,7.8,5.1,10,2012,6,5,False,False,False,False,True
0.0,23.9,7.8,1.3,10,2012,7,6,False,False,False,False,True
0.0,21.1,7.8,1.9,10,2012,8,0,False,False,False,False,True
0.0,16.1,8.9,1.6,10,2012,9,1,True,False,False,False,False
0.0,12.2,8.3,1.4,10,2012,10,2,True,False,False,False,False
0.0,13.9,7.2,1.3,10,2012,11,3,True,False,False,False,False
2.0,13.9,8.9,4.6,10,2012,12,4,False,False,True,False,False
4.8,15.6,12.2,3.9,10,2012,13,5,False,False,True,False,False
16.5,17.8,13.3,3.4,10,2012,14,6,False,False,True,False,False
7.9,17.2,11.1,4.6,10,2012,15,0,False,False,True,False,False
0.0,16.1,8.3,5.5,10,2012,16,1,False,False,False,False,True
0.0,14.4,6.1,1.6,10,2012,17,2,False,False,False,False,True
20.8,17.8,6.7,2.0,10,2012,18,3,False,False,True,False,False
4.8,15.0,9.4,5.3,10,2012,19,4,False,False,True,False,False
0.5,11.1,6.1,5.7,10,2012,20,5,False,False,True,False,False
6.4,11.7,4.4,2.7,10,2012,21,6,False,False,True,False,False
8.9,7.8,3.3,2.6,10,2012,22,0,False,False,True,False,False
0.0,11.1,5.6,3.0,10,2012,23,1,False,False,True,False,False
7.1,11.7,6.1,2.1,10,2012,24,2,False,False,True,False,False
0.0,11.7,6.7,1.5,10,2012,25,3,False,False,False,False,True
1.5,11.1,7.2,2.5,10,2012,26,4,False,False,True,False,False
23.1,14.4,9.4,5.1,10,2012,27,5,False,False,True,False,False
6.1,14.4,10.0,3.8,10,2012,28,6,False,False,True,False,False
10.9,15.6,10.0,4.9,10,2012,29,0,False,False,True,False,False
34.5,15.0,12.2,2.8,10,2012,30,1,False,False,True,False,False
14.5,15.6,11.1,2.7,10,2012,31,2,False,False,True,False,False
9.7,15.0,10.6,3.0,11,2012,1,3,False,False,True,False,False
5.6,15.0,10.6,1.0,11,2012,2,4,False,False,True,False,False
0.5,15.6,11.1,3.6,11,2012,3,5,False,False,True,False,False
8.1,17.8,12.8,3.8,11,2012,4,6,False,False,True,False,False
0.8,15.0,7.8,4.0,11,2012,5,0,False,False,True,False,False
0.3,12.8,6.7,3.5,11,2012,6,1,False,False,True,False,False
0.0,12.2,3.9,3.4,11,2012,7,2,False,False,True,False,False
0.0,10.0,1.1,3.4,11,2012,8,3,False,False,True,False,False
0.0,8.9,1.1,2.0,11,2012,9,4,False,False,True,False,False
0.0,7.8,-0.6,2.2,11,2012,10,5,False,False,False,False,True
15.2,8.9,1.1,3.0,11,2012,11,6,False,False,True,False,False
3.6,12.8,6.1,3.0,11,2012,12,0,False,False,True,False,False
5.3,11.1,7.8,2.5,11,2012,13,1,False,False,True,False,False
0.8,11.1,5.0,2.6,11,2012,14,2,False,False,True,False,False
0.0,9.4,2.8,2.4,11,2012,15,3,True,False,False,False,False
5.6,9.4,2.2,1.6,11,2012,16,4,False,False,True,False,False
6.1,12.2,6.1,5.3,11,2012,17,5,False,False,True,False,False
7.9,10.0,6.1,4.9,11,2012,18,6,False,False,True,False,False
54.1,13.3,8.3,6.0,11,2012,19,0,False,False,True,False,False
3.8,11.1,7.2,4.2,11,2012,20,1,False,False,True,False,False
11.2,8.3,3.9,5.5,11,2012,21,2,False,False,True,False,False
0.0,8.9,2.8,1.5,11,2012,22,3,False,False,True,False,False
32.0,9.4,6.1,2.4,11,2012,23,4,False,False,True,False,False
0.0,8.9,3.9,1.2,11,2012,24,5,False,False,True,False,False
0.0,8.3,1.1,3.6,11,2012,25,6,True,False,False,False,False
0.0,9.4,1.7,3.8,11,2012,26,0,False,True,False,False,False
0.0,10.0,1.7,1.5,11,2012,27,1,False,False,False,False,True
2.8,9.4,2.2,2.9,11,2012,28,2,False,False,True,False,False
1.5,12.8,7.8,4.2,11,2012,29,3,False,False,True,False,False
35.6,15.0,7.8,4.6,11,2012,30,4,False,False,True,False,False
4.1,13.3,8.3,5.5,12,2012,1,5,False,False,True,False,False
19.6,8.3,7.2,6.2,12,2012,2,6,False,False,True,False,False
13.0,9.4,7.2,4.4,12,2012,3,0,False,False,True,False,False
14.2,11.7,7.2,6.2,12,2012,4,1,False,False,True,False,False
1.5,8.9,4.4,5.0,12,2012,5,2,False,False,True,False,False
1.5,7.2,6.1,5.1,12,2012,6,3,False,False,True,False,False
1.0,7.8,3.3,4.6,12,2012,7,4,False,False,True,False,False
0.0,6.7,3.3,2.0,12,2012,8,5,False,False,False,False,True
1.5,6.7,2.8,2.1,12,2012,9,6,False,False,True,False,False
0.5,7.2,5.6,1.8,12,2012,10,0,False,False,True,False,False
3.0,7.8,5.6,4.5,12,2012,11,1,False,False,True,False,False
8.1,6.7,4.4,2.0,12,2012,12,2,False,False,True,False,False
2.3,7.2,3.3,2.8,12,2012,13,3,False,False,True,False,False
7.9,6.1,1.1,1.7,12,2012,14,4,False,False,True,False,False
5.3,4.4,0.6,5.1,12,2012,15,5,False,False,False,True,False
22.6,6.7,3.3,5.5,12,2012,16,6,False,False,False,True,False
2.0,8.3,1.7,9.5,12,2012,17,0,False,False,True,False,False
3.3,3.9,0.6,5.3,12,2012,18,1,False,False,False,True,False
13.7,8.3,1.7,5.8,12,2012,19,2,False,False,False,True,False
13.2,7.2,0.6,3.7,12,2012,20,3,False,False,True,False,False
1.8,8.3,-1.7,1.7,12,2012,21,4,False,False,True,False,False
3.3,8.3,3.9,3.5,12,2012,22,5,False,False,True,False,False
6.6,7.2,3.3,2.5,12,2012,23,6,False,False,True,False,False
0.3,5.6,2.8,2.8,12,2012,24,0,False,False,True,False,False
13.5,5.6,2.8,4.2,12,2012,25,1,False,False,False,True,False
4.6,6.7,3.3,4.9,12,2012,26,2,False,False,True,False,False
4.1,7.8,3.3,3.2,12,2012,27,3,False,False,True,False,False
0.0,8.3,3.9,1.7,12,2012,28,4,False,False,True,False,False
1.5,5.0,3.3,1.7,12,2012,29,5,False,False,True,False,False
0.0,4.4,0.0,1.8,12,2012,30,6,True,False,False,False,False
0.0,3.3,-1.1,2.0,12,2012,31,0,True,False,False,False,False
0.0,5.0,-2.8,2.7,1,2013,1,1,False,False,False,False,True
0.0,6.1,-1.1,3.2,1,2013,2,2,False,False,False,False,True
4.1,6.7,-1.7,3.0,1,2013,3,3,False,False,True,False,False
2.5,10.0,2.2,2.8,1,2013,4,4,False,False,True,False,False
3.0,6.7,4.4,3.1,1,2013,5,5,False,False,True,False,False
2.0,7.2,2.8,3.0,1,2013,6,6,False,False,True,False,False
2.3,10.0,4.4,7.3,1,2013,7,0,False,False,True,False,False
16.3,11.7,5.6,6.3,1,2013,8,1,False,False,True,False,False
38.4,10.0,1.7,5.1,1,2013,9,2,False,False,True,False,False
0.3,3.3,-0.6,2.1,1,2013,10,3,False,False,False,True,False
0.0,2.8,-2.8,1.9,1,2013,11,4,True,False,False,False,False
0.0,2.8,-3.9,2.0,1,2013,12,5,False,False,False,False,True
0.0,2.2,-4.4,1.5,1,2013,13,6,False,False,False,False,True
0.0,3.3,-2.2,1.3,1,2013,14,0,False,False,False,False,True
0.0,6.7,-0.6,2.3,1,2013,15,1,False,False,False,False,True
0.0,6.1,-3.9,1.8,1,2013,16,2,True,False,False,False,False
0.0,3.9,-2.8,1.0,1,2013,17,3,True,False,False,False,False
0.0,3.3,-1.1,1.3,1,2013,18,4,True,False,False,False,False
0.0,1.1,-0.6,1.9,1,2013,19,5,True,False,False,False,False
0.0,3.3,-0.6,2.1,1,2013,20,6,True,False,False,False,False
0.0,2.2,-1.7,1.1,1,2013,21,0,True,False,False,False,False
0.0,3.3,-1.7,0.6,1,2013,22,1,True,False,False,False,False
5.1,7.2,2.2,3.1,1,2013,23,2,False,False,True,False,False
5.8,7.2,1.1,2.6,1,2013,24,3,False,False,True,False,False
3.0,10.6,2.8,2.1,1,2013,25,4,False,False,True,False,False
2.3,8.3,3.9,4.5,1,2013,26,5,False,False,True,False,False
1.8,5.6,3.9,4.5,1,2013,27,6,False,False,True,False,False
7.9,6.1,3.3,3.2,1,2013,28,0,False,False,True,False,False
4.3,8.3,5.0,3.9,1,2013,29,1,False,False,True,False,False
